comment_clean,comment_no_stopword,comment_stemmed,sentiment
thank you and followed im new to sublimation and bought this printer because it was on sale i was extra confused on setting up the network,thank you and followed im new to sublimation and bought this printer because it was on sale was extra confused on setting up the network,thank you and followed im new to sublimation and bought this printer because it was on sale was extra confused on setting up the network,netral
thank you your video is really helpful,thank you your video is really helpful,thank you your video is really helpful,netral
im am having so much trouble with this printer i did everything you said to do now is saying los ink and it doesnt print frustration to the max just feel like sending it back i cant even get in touch with them,im am having so much trouble with this printer did everything you said to do now is saying los ink and it doesnt print frustration to the max just feel like sending it back cant even get in touch with them,im am having so much trouble with this printer did everything you said to do now is saying los ink and it doesnt print frustration to the max just feel like sending it back cant even get in touch with them,netral
thank you very much,thank you very much,thank you very much,netral
thank you for your video it really helped in setting my sawgrass up,thank you for your video it really helped in setting my sawgrass up,thank you for your video it really helped in setting my sawgrass up,netral
did you use the ink it comes with or sublimation ink,did you use the ink it comes with or sublimation ink,did you use the ink it comes with or sublimation ink,netral
just wanted to know how can i take out the ink to refill because im trying to push it in so it can pop out but it seems not to work that way,just wanted to know how can take out the ink to refill because im trying to push it in so it can pop out but it seems not to work that way,just wanted to know how can take out the ink to refill because im trying to push it in so it can pop out but it seems not to work that way,netral
great job explaining how to get everything set up stepbystep perfect thank you,great job explaining how to get everything set up stepbystep perfect thank you,great job explaining how to get everything set up stepbystep perfect thank you,netral
fantastic thank you followed along step by step and all set up,fantastic thank you followed along step by step and all set up,fantastic thank you followed along step by step and all set up,netral
help,help,help,netral
hi michele im worn out tried to setup prnters but couldnt download printer download for any ideas thanks,hi michele im worn out tried to setup prnters but couldnt download printer download for any ideas thanks,hi michele im worn out tried to setup prnters but couldnt download printer download for any ideas thanks,netral
hi i have just set up my sawgrassg and i had done what you said and put inks in after mins the flashing yellow quesion mark light came up saying low ink,hi have just set up my sawgrassg and had done what you said and put inks in after mins the flashing yellow quesion mark light came up saying low ink,hi have just set up my sawgrassg and had done what you said and put inks in after mins the flashing yellow quesion mark light came up saying low ink,netral
i never was able to conect it wirelessi use the cable,never was able to conect it wirelessi use the cable,never was able to conect it wirelessi use the cable,netral
can you tell me how to setup sawgrass sg i brought it used bit the lady said it was great i just cant get it setup,can you tell me how to setup sawgrass sg brought it used bit the lady said it was great just cant get it setup,can you tell me how to setup sawgrass sg brought it used bit the lady said it was great just cant get it setup,netral
great,great,great,netral
went to fast with setup,went to fast with setup,went to fast with setup,netral
do you prefer the sawgrass or epson printers for sublimation,do you prefer the sawgrass or epson printers for sublimation,do you prefer the sawgrass or epson printers for sublimation,netral
i am not receiving ink,am not receiving ink,am not receiving ink,netral
i need to find someone who can tell me this in englishand has more information if anyone knows please help me out,need to find someone who can tell me this in englishand has more information if anyone knows please help me out,need to find someone who can tell me this in englishand has more information if anyone knows please help me out,netral
whaaaat,whaaaat,whaaaat,netral
bro u jus wasted my time sybau,bro jus wasted my time sybau,bro jus wasted my time sybau,netral
the right margin is bigger than the left margin,the right margin is bigger than the left margin,the right margin is bigger than the left margin,netral
how do i refil ink,how do refil ink,how do refil ink,netral
wtf was that,wtf was that,wtf was that,netral
what did you say,what did you say,what did you say,netral
waw,waw,waw,netral
how do i make the print darker please,how do make the print darker please,how do make the print darker please,netral
do we need to pay every month for this if yes how much,do we need to pay every month for this if yes how much,do we need to pay every month for this if yes how much,netral
that nt useful,that nt useful,that nt useful,netral
how to i share my phone with the printer,how to share my phone with the printer,how to share my phone with the printer,netral
buggiest piece of shit printer do not buy it,buggiest piece of shit printer do not buy it,buggiest piece of shit printer do not buy it,netral
my printer is photocopied small,my printer is photocopied small,my printer is photocopied small,netral
buongiorno non riesco entrare la stampante,buongiorno non riesco entrare la stampante,buongiorno non riesco entrare la stampante,netral
wooooah so smart i feel dumb hahahah ive been taping my fabric to print paper and feeding it through it ruins my fabric more often then not,wooooah so smart feel dumb hahahah ive been taping my fabric to print paper and feeding it through it ruins my fabric more often then not,wooooah so smart feel dumb hahahah ive been taping my fabric to print paper and feeding it through it ruins my fabric more often then not,netral
is it okwith washing,is it okwith washing,is it okwith washing,netral
whats contact paper,whats contact paper,whats contact paper,netral
would sticking the fabric to paper also work if i used thin fabric and thin paper,would sticking the fabric to paper also work if used thin fabric and thin paper,would sticking the fabric to paper also work if used thin fabric and thin paper,netral
omg im not worthy you tip is gonna be a life changer for my diy projects thank you thank you,omg im not worthy you tip is gonna be life changer for my diy projects thank you thank you,omg im not worthy you tip is gonna be life changer for my diy projects thank you thank you,netral
can you give examples of how youd use the pieces of fabric after printing on it please,can you give examples of how youd use the pieces of fabric after printing on it please,can you give examples of how youd use the pieces of fabric after printing on it please,netral
howcan i do this for teeshirts or designs i do for kids without a circuit is there any clear vinyl paper for inkjet printers,howcan do this for teeshirts or designs do for kids without circuit is there any clear vinyl paper for inkjet printers,howcan do this for teeshirts or designs do for kids without circuit is there any clear vinyl paper for inkjet printers,netral
is this contact paper or shipping label,is this contact paper or shipping label,is this contact paper or shipping label,netral
youre too fast you gotta take each piece and demonstrate it more detail please,youre too fast you gotta take each piece and demonstrate it more detail please,youre too fast you gotta take each piece and demonstrate it more detail please,netral
well whod of thought,well whod of thought,well whod of thought,netral
how would you do it on a sweater,how would you do it on sweater,how would you do it on sweater,netral
how do you set the colors can the fabric be washed after it is printed,how do you set the colors can the fabric be washed after it is printed,how do you set the colors can the fabric be washed after it is printed,netral
oh awesome i really need to see how much itll come off in the wash u,oh awesome really need to see how much itll come off in the wash,oh awesome really need to see how much itll come off in the wash,netral
is this clear contact paper and where to buy it thank you for sharing i love this easy idea so much better than messy sprays and adhesives,is this clear contact paper and where to buy it thank you for sharing love this easy idea so much better than messy sprays and adhesives,is this clear contact paper and where to buy it thank you for sharing love this easy idea so much better than messy sprays and adhesives,netral
you can use freezer paper also,you can use freezer paper also,you can use freezer paper also,netral
wow amazing,wow amazing,wow amazing,positif
wonderful how do you protect your print do you spray it with something,wonderful how do you protect your print do you spray it with something,wonderful how do you protect your print do you spray it with something,netral
do you out the contac paper on both sides,do you out the contac paper on both sides,do you out the contac paper on both sides,netral
is there a full tutorial newbie help please,is there full tutorial newbie help please,is there full tutorial newbie help please,netral
i was like number k,was like number,was like number,netral
it looks like beautiful results i love the picture you used i have not tried it but i hope it looks as good as it does on camera,it looks like beautiful results love the picture you used have not tried it but hope it looks as good as it does on camera,it looks like beautiful results love the picture you used have not tried it but hope it looks as good as it does on camera,netral
can you please do this again and go into detail,can you please do this again and go into detail,can you please do this again and go into detail,netral
ok great how to video,ok great how to video,ok great how to video,netral
which paper,which paper,which paper,netral
how do you make it not wash out,how do you make it not wash out,how do you make it not wash out,netral
so youre putting clothing in your printer,so youre putting clothing in your printer,so youre putting clothing in your printer,netral
then what show all steps,then what show all steps,then what show all steps,netral
do you seal the fabric after printing on it do you use an ink jet or color copier,do you seal the fabric after printing on it do you use an ink jet or color copier,do you seal the fabric after printing on it do you use an ink jet or color copier,netral
this is brilliant,this is brilliant,this is brilliant,netral
what kind of fabric are you using colette i have some white fabric and some sticker paper and my fabric is coming out darker than i want but the sticker sheets are white i do have some clear contact paper and i have a ginormous roll i just bought the sticker sheets yesterday but they were only dollars would i get a brighter fabric with the clear contac paper,what kind of fabric are you using colette have some white fabric and some sticker paper and my fabric is coming out darker than want but the sticker sheets are white do have some clear contact paper and have ginormous roll just bought the sticker sheets yesterday but they were only dollars would get brighter fabric with the clear contac paper,what kind of fabric are you using colette have some white fabric and some sticker paper and my fabric is coming out darker than want but the sticker sheets are white do have some clear contact paper and have ginormous roll just bought the sticker sheets yesterday but they were only dollars would get brighter fabric with the clear contac paper,netral
yes wooo whooo,yes wooo whooo,yes wooo whooo,netral
what type of printer,what type of printer,what type of printer,netral
this is a great idea you can also use the full size sticker sheets they are already cut to size which saves a step once you use them peel the sticker paper off the fabric and put the backing paper back on it they can be reused many times over,this is great idea you can also use the full size sticker sheets they are already cut to size which saves step once you use them peel the sticker paper off the fabric and put the backing paper back on it they can be reused many times over,this is great idea you can also use the full size sticker sheets they are already cut to size which saves step once you use them peel the sticker paper off the fabric and put the backing paper back on it they can be reused many times over,netral
absolutely genius,absolutely genius,absolutely genius,netral
can this work for tshirts and how many washes can it withstand,can this work for tshirts and how many washes can it withstand,can this work for tshirts and how many washes can it withstand,netral
what do you use the printed fabric for and once the ink is dry can you wash it also i assume youre using a thin fabric,what do you use the printed fabric for and once the ink is dry can you wash it also assume youre using thin fabric,what do you use the printed fabric for and once the ink is dry can you wash it also assume youre using thin fabric,netral
genius,genius,genius,netral
you are so good night smart,you are so good night smart,you are so good night smart,netral
but how to make it waterproof on vlothes,but how to make it waterproof on vlothes,but how to make it waterproof on vlothes,netral
can you then reuse the paper again the label for printing with one side sticky to print on fabric,can you then reuse the paper again the label for printing with one side sticky to print on fabric,can you then reuse the paper again the label for printing with one side sticky to print on fabric,netral
what product are you using,what product are you using,what product are you using,netral
this is genius ty,this is genius ty,this is genius ty,netral
wowthanks,wowthanks,wowthanks,netral
im going to try this,im going to try this,im going to try this,netral
greatest idea,greatest idea,greatest idea,netral
this is brilliant,this is brilliant,this is brilliant,netral
what is the white shipping labels used for,what is the white shipping labels used for,what is the white shipping labels used for,netral
awesome thank you,awesome thank you,awesome thank you,netral
how to charge this as a first time user,how to charge this as first time user,how to charge this as first time user,netral
struggling bluetooth,struggling bluetooth,struggling bluetooth,netral
hey thanks for the video can anyone explain how to set up on macbook pro,hey thanks for the video can anyone explain how to set up on macbook pro,hey thanks for the video can anyone explain how to set up on macbook pro,netral
whats the difference between this model and nimbot b since this one is more expensive,whats the difference between this model and nimbot since this one is more expensive,whats the difference between this model and nimbot since this one is more expensive,netral
how to load your saved stuff on the apps,how to load your saved stuff on the apps,how to load your saved stuff on the apps,netral
hello i bought this model but cant figure out how to print pdf labels from nimbot app please guide thanks,hello bought this model but cant figure out how to print pdf labels from nimbot app please guide thanks,hello bought this model but cant figure out how to print pdf labels from nimbot app please guide thanks,netral
very good video thanks a lot can you print in color,very good video thanks lot can you print in color,very good video thanks lot can you print in color,netral
oi comprei uma recentemente e no emparelha com meu celular de jeito nenhum j tentei de tudo e segui todas as instrues mas no encontra a impressora nunca emparelhei ela est nova,oi comprei uma recentemente no emparelha com meu celular de jeito nenhum tentei de tudo segui todas as instrues mas no encontra impressora nunca emparelhei ela est nova,oi comprei uma recentemente no emparelha com meu celular de jeito nenhum tentei de tudo segui todas as instrues mas no encontra impressora nunca emparelhei ela est nova,netral
niimbot printers only work with expensive original labels that have an nfc tag they do not work with regular thermal labels the manufacturer justifies this by claiming their labels are of high quality which is true however regular paper thermal labels are often needed for labeling mail shipments and more unfortunately the manufacturer does not provide the option to choose which labels to use i do not recommend this printer if you need to do a lot of printing,niimbot printers only work with expensive original labels that have an nfc tag they do not work with regular thermal labels the manufacturer justifies this by claiming their labels are of high quality which is true however regular paper thermal labels are often needed for labeling mail shipments and more unfortunately the manufacturer does not provide the option to choose which labels to use do not recommend this printer if you need to do lot of printing,niimbot printers only work with expensive original labels that have an nfc tag they do not work with regular thermal labels the manufacturer justifies this by claiming their labels are of high quality which is true however regular paper thermal labels are often needed for labeling mail shipments and more unfortunately the manufacturer does not provide the option to choose which labels to use do not recommend this printer if you need to do lot of printing,netral
thank you i almost now and sometimes i cant figure out shiiii esp after i smoke thanks,thank you almost now and sometimes cant figure out shiiii esp after smoke thanks,thank you almost now and sometimes cant figure out shiiii esp after smoke thanks,netral
my niimbot wont charge help,my niimbot wont charge help,my niimbot wont charge help,netral
i like this product pls tell cost of this device,like this product pls tell cost of this device,like this product pls tell cost of this device,netral
the niimbot app not eorking with android tablets,the niimbot app not eorking with android tablets,the niimbot app not eorking with android tablets,netral
the biggest disadvantage of these portable label printers is the the company use roller with predefined sticker size instead to let the user to set the cut size of the length so if for example you need a lengthx and then a x or x sticker you have to carry with you different rollers this fact make the device useless for a professional work on the road it would be much clever to have one roller per width and let the user to determine the length cutting size,the biggest disadvantage of these portable label printers is the the company use roller with predefined sticker size instead to let the user to set the cut size of the length so if for example you need lengthx and then or sticker you have to carry with you different rollers this fact make the device useless for professional work on the road it would be much clever to have one roller width and let the user to determine the length cutting size,the biggest disadvantage of these portable label printers is the the company use roller with predefined sticker size instead to let the user to set the cut size of the length so if for example you need lengthx and then or sticker you have to carry with you different rollers this fact make the device useless for professional work on the road it would be much clever to have one roller width and let the user to determine the length cutting size,netral
the b i bought does not align then paper automatically,the bought does not align then paper automatically,the bought does not align then paper automatically,netral
como vai comprei h alguns dias a impressora e depois que acaba de imprimir uma copia a bobina avana etiquetas como resolver,como vai comprei alguns dias impressora depois que acaba de imprimir uma copia bobina avana etiquetas como resolver,como vai comprei alguns dias impressora depo que acaba de imprimir uma copia bobina avana etiquetas como resolver,netral
how many labels come with the b where do i buy more,how many labels come with the where do buy more,how many labels come with the where do buy more,netral
should i charge before using the new unit,should charge before using the new unit,should charge before using the new unit,netral
i just brought the b model but when im choosing print more than copy the alignment was out i really no idea how to make it ive try so many times and wasted alot of the sticker can assist me,just brought the model but when im choosing print more than copy the alignment was out really no idea how to make it ive try so many times and wasted alot of the sticker can assist me,just brought the model but when im choosing print more than copy the alignment was out really no idea how to make it ive try so many times and wasted alot of the sticker can assist me,netral
i cant connect to the printer i tried everything delete the app and download it again restart my mobile phone and yet no avail it says connection failure,cant connect to the printer tried everything delete the app and download it again restart my mobile phone and yet no avail it says connection failure,cant connect to the printer tried everything delete the app and download it again restart my mobile phone and yet no avail it says connection failure,netral
my printer keeps pushing out the paper till it errors after cm,my printer keeps pushing out the paper till it errors after cm,my printer keeps pushing out the paper till it errors after cm,netral
how much this,how much this,how much this,netral
ciaoho provato le etichette colorate gialle ma non esce il testoqualcuno sa dirmi se ci sono delle impostazioni da inserire,ciaoho provato le etichette colorate gialle ma non esce il testoqualcuno sa dirmi ci sono delle impostazioni da inserire,ciaoho provato le etichette colorate gialle ma non esce il testoqualcuno sa dirmi ci sono delle impostazioni da inserire,netral
y como puedo usarla en computadora,como puedo usarla en computadora,como puedo usarla en computadora,netral
hello i love my printer its great i havent found out how to connect to use with amazon seller app to direct print please help,hello love my printer its great havent found out how to connect to use with amazon seller app to direct print please help,hello love my printer its great havent found out how to connect to use with amazon seller app to direct print please help,netral
hp is very pathetic,hp is very pathetic,hp is very pathetic,netral
it took me an hour trying to figure out how to connect through my new wifi router through the hp app you had me get it in less than minutes thank you,it took me an hour trying to figure out how to connect through my new wifi router through the hp app you had me get it in less than minutes thank you,it took me an hour trying to figure out how to connect through my new wifi router through the hp app you had me get it in less than minutes thank you,netral
thank you soo much,thank you soo much,thank you soo much,netral
thx for movie but it is not working hp prineter are one bit piece of shit,thx for movie but it is not working hp prineter are one bit piece of shit,thx for movie but it is not working hp prineter are one bit piece of shit,netral
oh my gosh thank you so much i was pulling my hair out trying to figure this out this is a huge trial every time my computer gets disconnected having to reconnect it again,oh my gosh thank you so much was pulling my hair out trying to figure this out this is huge trial every time my computer gets disconnected having to reconnect it again,oh my gosh thank you so much was pulling my hair out trying to figure this out this is huge trial every time my computer gets disconnected having to reconnect it again,netral
trash company scam indian software to scam you money even when your inks are full it locks you out at each update and doesnt even matter if you have ink cause it reads the paper you have printed not the ink stay away,trash company scam indian software to scam you money even when your inks are full it locks you out at each update and doesnt even matter if you have ink cause it reads the paper you have printed not the ink stay away,trash company scam indian software to scam you money even when your inks are full it locks you out at each update and doesnt even matter if you have ink cause it reads the paper you have printed not the ink stay away,netral
thank you man,thank you man,thank you man,netral
please helppppp,please helppppp,please helppppp,netral
very good video very clear and easy instructions to follow excellent thank you very much,very good video very clear and easy instructions to follow excellent thank you very much,very good video very clear and easy instructions to follow excellent thank you very much,netral
your the man,your the man,your the man,netral
thanks video was very helpful,thanks video was very helpful,thanks video was very helpful,netral
i cannot unxerstand you,cannot unxerstand you,cannot unxerstand you,netral
lifesaver i was this close to crying,lifesaver was this close to crying,lifesaver was this close to crying,netral
i literally almost threw my printer,literally almost threw my printer,literally almost threw my printer,netral
after an hour of crying on the floor so upset that i cant getting my brand new printer that was working yesterday to work i finally found this video and got it im so exhausted now,after an hour of crying on the floor so upset that cant getting my brand new printer that was working yesterday to work finally found this video and got it im so exhausted now,after an hour of crying on the floor so upset that cant getting my brand new printer that was working yesterday to work finally found this video and got it im so exhausted now,netral
good,good,good,netral
you absolute legend,you absolute legend,you absolute legend,netral
printer saacreen,printer saacreen,printer saacreen,netral
thanks just set mine up now,thanks just set mine up now,thanks just set mine up now,netral
can not connect to new internet,can not connect to new internet,can not connect to new internet,netral
thank you i was starting to lose it but your video helped me solve it within a couple of minutes waaaaay better than the hp support stuff lol,thank you was starting to lose it but your video helped me solve it within couple of minutes waaaaay better than the hp support stuff lol,thank you was starting to lose it but your video helped me solve it within couple of minutes waaaaay better than the hp support stuff lol,netral
thankyou so much sir you saved me today,thankyou so much sir you saved me today,thankyou so much sir you saved me today,netral
i was using my printer for years recently we shifted house now im not able to reconnect my device to my phone or laptop when i give add device its not showing my device only working in wifi direct not from home wifi kindly help,was using my printer for years recently we shifted house now im not able to reconnect my device to my phone or laptop when give add device its not showing my device only working in wifi direct not from home wifi kindly help,was using my printer for years recently we shifted house now im not able to reconnect my device to my phone or laptop when give add device its not showing my device only working in wifi direct not from home wifi kindly help,netral
thank you,thank you,thank you,netral
thank you,thank you,thank you,netral
this was so much more helpful than their website tutorial thank you so much,this was so much more helpful than their website tutorial thank you so much,this was so much more helpful than their website tutorial thank you so much,netral
ive tried what you have said but it only led me to computer is unable to connect with printer its telling me that my laptop is in a different wifi name its not true im using the same wifi,ive tried what you have said but it only led me to computer is unable to connect with printer its telling me that my laptop is in different wifi name its not true im using the same wifi,ive tried what you have said but it only led me to computer is unable to connect with printer its telling me that my laptop is in different wifi name its not true im using the same wifi,netral
thank you sir i was about to smash this stupid fuckin printer,thank you sir was about to smash this stupid fuckin printer,thank you sir was about to smash this stupid fuckin printer,netral
thank you so much,thank you so much,thank you so much,netral
your video is the only one that helped me thank you so much,your video is the only one that helped me thank you so much,your video is the only one that helped me thank you so much,netral
where can i get the password,where can get the password,where can get the password,netral
my dad didnt do this so thank you im gonna try it now,my dad didnt do this so thank you im gonna try it now,my dad didnt do this so thank you im gonna try it now,netral
you look cute,you look cute,you look cute,netral
these are genuinely garbage,these are genuinely garbage,these are genuinely garbage,netral
yu da goat my sisters was struggling for hours on this told her lemme help she said she was already stressed enough i went to smoke looked up a yt vid yu popped up walked back in seen she finally gave up minutes later the printer was setup,yu da goat my sisters was struggling for hours on this told her lemme help she said she was already stressed enough went to smoke looked up yt vid yu popped up walked back in seen she finally gave up minutes later the printer was setup,yu da goat my sisters was struggling for hours on this told her lemme help she said she was already stressed enough went to smoke looked up yt vid yu popped up walked back in seen she finally gave up minutes later the printer was setup,netral
if this still doesnt do the trick make sure to check the following check the security settings on your router i just found out that wps for me only works if the security mode on my router is set to be wpapsk before i assumed that wps always works but apparently it doesnt as soon as i changed this it worked,if this still doesnt do the trick make sure to check the following check the security settings on your router just found out that wps for me only works if the security mode on my router is set to be wpapsk before assumed that wps always works but apparently it doesnt as soon as changed this it worked,if this still doesnt do the trick make sure to check the following check the security settings on your router just found out that wps for me only works if the security mode on my router is set to be wpapsk before assumed that wps always works but apparently it doesnt as soon as changed this it worked,netral
thank you for sharing,thank you for sharing,thank you for sharing,netral
i will never buy another hp printer i have a hp office projet and it is a piece of junk,will never buy another hp printer have hp office projet and it is piece of junk,will never buy another hp printer have hp office projet and it is piece of junk,netral
bro thank you why cant hp just say press and hold the two buttons and click add new printer,bro thank you why cant hp just say press and hold the two buttons and click add new printer,bro thank you why cant hp just say press and hold the two buttons and click add new printer,netral
quick and easy thank you for helping,quick and easy thank you for helping,quick and easy thank you for helping,netral
omg thank you so much,omg thank you so much,omg thank you so much,netral
i am having so much difficulty connecting my printer to the new wifi i have followed this video but still cant connect,am having so much difficulty connecting my printer to the new wifi have followed this video but still cant connect,am having so much difficulty connecting my printer to the new wifi have followed this video but still cant connect,netral
thank you this was very helpful,thank you this was very helpful,thank you this was very helpful,netral
thank you so much ive tried to set my printer up for years,thank you so much ive tried to set my printer up for years,thank you so much ive tried to set my printer up for years,netral
thank you king,thank you king,thank you king,netral
dang he good,dang he good,dang he good,netral
its bee yes ago your video still showing while im searching this set up and i select your video its clear explenation buddy soon i will apply to my newest wi fi printer,its bee yes ago your video still showing while im searching this set up and select your video its clear explenation buddy soon will apply to my newest wi fi printer,its bee yes ago your video still showing while im searching this set up and select your video its clear explenation buddy soon will apply to my newest wi fi printer,netral
hp should learn something from you about how to set up printer,hp should learn something from you about how to set up printer,hp should learn something from you about how to set up printer,netral
thanks a lot please ensure to install hp smart first and then wifi password must be handy the g wifi will not work with this printer,thanks lot please ensure to install hp smart first and then wifi password must be handy the wifi will not work with this printer,thanks lot please ensure to install hp smart first and then wifi password must be handy the wifi will not work with this printer,netral
thank you so much youve saved my life i was going to give my printer away,thank you so much youve saved my life was going to give my printer away,thank you so much youve saved my life was going to give my printer away,netral
u actually helped me out the smile on my moms face when i printed her out her papers was priceless,actually helped me out the smile on my moms face when printed her out her papers was priceless,actually helped me out the smile on my moms face when printed her out her papers was priceless,netral
you are the man bro was seconds away from sending this printer off my balcony,you are the man bro was seconds away from sending this printer off my balcony,you are the man bro was seconds away from sending this printer off my balcony,netral
hi i am not able to view my printer on the hp app its not showing up although i have turned on the location precise location and the wifi and bluetooth anything else im missing,hi am not able to view my printer on the hp app its not showing up although have turned on the location precise location and the wifi and bluetooth anything else im missing,hi am not able to view my printer on the hp app its not showing up although have turned on the location precise location and the wifi and bluetooth anything else im missing,netral
can you please tell me what can i go to my ipad i get information regarding my printer when i,can you please tell me what can go to my ipad get information regarding my printer when,can you please tell me what can go to my ipad get information regarding my printer when,netral
what separate apps are required for the printer ive had an hp printer for long time and ive never been able to get instant ink i had used customer service for literally days to get it figured out until i just stopped trying the only reason i still have this dust collector is that it does or did actually work i would like to get ink without having to sell a kidney dealing with customer service again will be like a parttime job i dont have the time for any ideas,what separate apps are required for the printer ive had an hp printer for long time and ive never been able to get instant ink had used customer service for literally days to get it figured out until just stopped trying the only reason still have this dust collector is that it does or did actually work would like to get ink without having to sell kidney dealing with customer service again will be like parttime job dont have the time for any ideas,what separate apps are required for the printer ive had an hp printer for long time and ive never been able to get instant ink had used customer service for literally days to get it figured out until just stopped trying the only reason still have this dust collector is that it does or did actually work would like to get ink without having to sell kidney dealing with customer service again will be like parttime job dont have the time for any ideas,netral
best and simplest video for this kind of easy task,best and simplest video for this kind of easy task,best and simplest video for this kind of easy task,positif
omg thank you so much for sharing this,omg thank you so much for sharing this,omg thank you so much for sharing this,netral
unfortunately this didnt work for me because i threw my printer out of a ten storey window but thanks for the simple and informative video,unfortunately this didnt work for me because threw my printer out of ten storey window but thanks for the simple and informative video,unfortunately this didnt work for me because threw my printer out of ten storey window but thanks for the simple and informative video,netral
thanks man i smiled at the end,thanks man smiled at the end,thanks man smiled at the end,netral
see the problem is is mine still not finding my printer and its stressing me the hell out,see the problem is is mine still not finding my printer and its stressing me the hell out,see the problem is is mine still not finding my printer and its stressing me the hell out,netral
youre my savior god bless your soul fricken couldnt figure it out,youre my savior god bless your soul fricken couldnt figure it out,youre my savior god bless your soul fricken couldnt figure it out,netral
thank you very simple very helpful,thank you very simple very helpful,thank you very simple very helpful,netral
dosent work,dosent work,dosent work,netral
this was onpoint thanks so much,this was onpoint thanks so much,this was onpoint thanks so much,netral
worked well sir thanks,worked well sir thanks,worked well sir thanks,netral
ive been using this very good video but its a problem that is uncommon i guess,ive been using this very good video but its problem that is uncommon guess,ive been using this very good video but its problem that is uncommon guess,netral
printer stopped working a few weeks ago the lights are flashing all of them whenever i turn the power on and its not connected to our devices over the wifi i cant get a hold of hp frustrating,printer stopped working few weeks ago the lights are flashing all of them whenever turn the power on and its not connected to our devices over the wifi cant get hold of hp frustrating,printer stopped working few weeks ago the lights are flashing all of them whenever turn the power on and its not connected to our devices over the wifi cant get hold of hp frustrating,netral
i tried this and its still not working any other way for it to work please,tried this and its still not working any other way for it to work please,tried this and its still not working any other way for it to work please,netral
why the hell do they force us to use wifi it should be usb first then wifi as optional,why the hell do they force us to use wifi it should be usb first then wifi as optional,why the hell do they force us to use wifi it should be usb first then wifi as optional,netral
i changed my wifi network and i need to set up my printer and your guidance truly save my worriesthank you ver much,changed my wifi network and need to set up my printer and your guidance truly save my worriesthank you ver much,changed my wifi network and need to set up my printer and your guidance truly save my worriesthank you ver much,netral
smart printer is not for free,smart printer is not for free,smart printer is not for free,netral
hp should hire you and save millions of money,hp should hire you and save millions of money,hp should hire you and save millions of money,netral
i was losing my mind literally bit my nails to the nubs dude thank you so s much,was losing my mind literally bit my nails to the nubs dude thank you so much,was losing my mind literally bit my nails to the nubs dude thank you so much,netral
can someone help me set it up please my printer says that the tray is empty when theres paper,can someone help me set it up please my printer says that the tray is empty when theres paper,can someone help me set it up please my printer says that the tray is empty when theres paper,netral
thank you you gave me more information than the instructions that came with my printer,thank you you gave me more information than the instructions that came with my printer,thank you you gave me more information than the instructions that came with my printer,netral
what if its just not connecting mine wont connect at all and idk what to do,what if its just not connecting mine wont connect at all and idk what to do,what if its just not connecting mine wont connect at all and idk what to do,netral
super i had wasted hours and finally landed on this video thanks much,super had wasted hours and finally landed on this video thanks much,super had wasted hours and finally landed on this video thanks much,netral
thank you sir thank you god bless you,thank you sir thank you god bless you,thank you sir thank you god bless you,netral
u really helped me bro thanks,really helped me bro thanks,really helped me bro thanks,netral
is is possible to use this printer without wifi connectionmobile network connection or with cable,is is possible to use this printer without wifi connectionmobile network connection or with cable,is is possible to use this printer without wifi connectionmobile network connection or with cable,netral
very helpful thank you,very helpful thank you,very helpful thank you,netral
excelent,excelent,excelent,netral
my printer was working fine till my phone died and will not connect to my new phone,my printer was working fine till my phone died and will not connect to my new phone,my printer was working fine till my phone died and will not connect to my new phone,netral
fantastic video sorted in no time thank you,fantastic video sorted in no time thank you,fantastic video sorted in no time thank you,netral
the most useful video i have seen in a long time thanks very much,the most useful video have seen in long time thanks very much,the most useful video have seen in long time thanks very much,netral
omg thanks still works saved me a lot of hassle for this simple task,omg thanks still works saved me lot of hassle for this simple task,omg thanks still works saved me lot of hassle for this simple task,netral
i will never buy an hp printer again i have to set mine up everything for occasional use takes forever,will never buy an hp printer again have to set mine up everything for occasional use takes forever,will never buy an hp printer again have to set mine up everything for occasional use takes forever,netral
does this work with data instead of internet,does this work with data instead of internet,does this work with data instead of internet,netral
thank you i have tried everything else and was ready to return,thank you have tried everything else and was ready to return,thank you have tried everything else and was ready to return,netral
thank you for that took ages trying to faf around doing it but watched your video and complete in under mins thank you so much,thank you for that took ages trying to faf around doing it but watched your video and complete in under mins thank you so much,thank you for that took ages trying to faf around doing it but watched your video and complete in under mins thank you so much,netral
what to do if the printer is not showing even after turning on it in the printer,what to do if the printer is not showing even after turning on it in the printer,what to do if the printer is not showing even after turning on it in the printer,netral
the button press is so simple yet so elusive elsewhere,the button press is so simple yet so elusive elsewhere,the button press is so simple yet so elusive elsewhere,netral
thank you soooo much i was having issues with my hp smart it is now working thank you,thank you soooo much was having issues with my hp smart it is now working thank you,thank you soooo much was having issues with my hp smart it is now working thank you,netral
you are the best better the hp support they should transfer the business to you,you are the best better the hp support they should transfer the business to you,you are the best better the hp support they should transfer the business to you,positif
after pressing two buttons on printer and he clicked on setup printer on ho smart app it get ls detected when i am doing its not showing any printer can anyone help me because this man dont reply to his subscriber,after pressing two buttons on printer and he clicked on setup printer on ho smart app it get ls detected when am doing its not showing any printer can anyone help me because this man dont reply to his subscriber,after pressing two buttons on printer and he clicked on setup printer on ho smart app it get ls detected when am doing its not showing any printer can anyone help me because this man dont reply to his subscriber,netral
